Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,51,1,0,019,304,821,292,321,167,54,0,0
1985,14,4,50,4,177,311,244,206,238,189,0,0
1986,9,0,1,90,136,337,338,177,637,183,159,6
1987,1,0,58,165,52,327,389,714,193,136,14,10
1988,0,27,93,148,298,518,257,312,117,87,100,0
1989,0,3,2,41,273,202,282,120,161,234,0,7
1990,0,5,189,19,163,342,392,106,202,94,126,10
1991,24,24,33,54,87,408,220,335,216,145,0,76
1992,38,66,0,20,204,303,317,147,203,36,3,0
1993,0,33,115,147,142,294,335,210,333,103,4,0
1994,12,29,1,51,175,371,220,255,89,64,2,0
1995,17,25,18,5,88,196,281,286,270,95,113,3
1996,21,20,22,90,146,350,289,362,195,257,5,0
1997,15,33,51,70,110,232,393,240,348,12,15,19
1998,44,26,141,130,222,158,184,209,168,88,118,0
1999,0,0,0,31,141,262,448,251,301,151,1,0
2000,2,19,7,71,172,500,283,279,413,145,0,0
2001,0,38,37,39,347,475,277,109,141,165,14,0
2002,18,0,22,134,267,539,519,258,224,32,112,0
2003,0,13,119,55,66,457,419,142,145,466,0,35
2004,3,0,10,72,176,303,398,400,856,259,0,0
2005,32,15,129,33,57,181,468,113,159,411,2,0
2006,0,0,1,52,302,231,479,318,366,7,4,0
2007,0,83,21,62,159,351,738,274,261,142,100,0
2008,70,38,38,38,213,268,415,200,415,199,0,0
2009,0,7,34,0,198,240,279,391,417,94,1,1
2010,0,22,11,50,274,297,168,211,186,116,4,32
2011,0,0,34,35,145,360,250,303,227,18,1,0
2012,31,4,5,92,26,253,304,185,271,71,61,2
2013,6,15,8,63,301,212,211,309,328,215,0,0
