Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,4,1,0,7,8,21,22,24,13,6,0,0
1985,4,2,4,2,15,18,20,23,16,3,0,0
1986,1,0,1,7,10,17,19,17,23,12,5,0
1987,1,0,7,10,6,11,24,17,13,4,3,1
1988,0,1,8,4,14,18,23,20,9,5,4,0
1989,0,2,2,3,9,15,18,16,7,9,0,2
1990,0,6,10,9,15,18,21,14,22,7,4,1
1991,3,3,2,6,7,20,20,22,15,10,0,3
1992,3,6,0,2,12,16,18,18,14,5,1,0
1993,0,2,4,6,16,15,19,24,22,11,1,0
1994,3,3,1,5,8,21,21,23,12,5,2,0
1995,4,3,1,2,7,17,23,20,14,7,6,1
1996,3,4,2,5,7,18,15,20,12,6,1,0
1997,2,3,4,8,10,21,24,24,18,1,3,3
1998,9,3,9,7,10,13,22,19,14,13,5,0
1999,0,0,0,4,12,18,19,18,16,15,1,0
2000,2,6,2,6,14,22,25,21,14,14,0,0
2001,0,2,6,7,15,25,26,17,13,11,2,0
2002,4,0,4,9,13,20,20,22,22,3,2,0
2003,0,2,9,6,9,22,21,19,21,17,0,4
2004,1,0,5,6,9,18,22,24,15,9,0,0
2005,3,2,6,3,6,14,25,12,18,15,1,0
2006,0,0,1,6,13,15,25,27,19,4,4,0
2007,0,6,6,6,11,19,25,20,22,9,4,0
2008,4,3,8,6,6,21,27,22,20,10,0,0
2009,0,1,2,,11,10,22,24,12,17,1,1
2010,0,4,1,4,11,15,18,16,16,8,3,3
2011,0,0,7,5,10,18,17,20,19,2,1,0
2012,5,1,1,9,6,15,23,18,16,8,5,1
2013,1,2,4,10,21,18,25,26,9,19,0,1
