Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,360/13,340/18,220/22,200/50,090/50,220/32,130/34,090/25,360/26,090/23,020/18,220/18
1985,340/10,340/10,180/30,160/50,340/35,290/27,,,090/17,240/26,040/10,340/12
1986,360/10,360/12,220/26,230/46,340/36,310/32,200/26,090/24,090/32,230/30,040/30,360/12
1987,020/13,340/20,230/33,180/33,360/41,180/21,230/22,020/32,200/22,070/19,050/13,180/18
1988,020/12,250/18,310/42,270/36,200/34,,160/27,050/24,230/27,160/22,050/59,360/11
1989,360/12,230/22,310/28,220/30,160/33,040/33,230/25,150/22,120/23,120/23,360/10,050/14
1990,200/16,360/21,200/44,030/40,020/42,050/32,110/24,090/29,180/24,080/20,310/28,080/27
1991,360/13,360/33,020/37,340/36,350/44,350/30,270/26,130/33,210/24,110/20,110/10,020/18
1992,340/18,350/28,280/20,230/35,240/33,160/26,180/30,100/24,180/22,050/18,010/10,320/08
1993,180/12,130/21,250/34,340/41,340/40,350/25,310/25,190/20,200/24,190/20,180/12,020/08
1994,360/20,020/20,200/31,360/52,360/42,360/32,150/20,110/27,040/25,180/19,050/12,360/09
1995,030/17,230/18,270/27,290/30,130/24,030/40,130/21,090/20,140/24,130/24,090/21,330/20
1996,360/12,310/30,320/20,320/32,320/37,190/30,180/21,030/18,360/20,060/23,130/23,330/09
1997,270/11,340/17,270/36,230/39,330/36,330/32,240/21,120/30,350/20,270/09,030/12,340/13
1998,350/10,340/20,270/28,360/46,360/33,330/25,140/21,180/13,240/24,160/21,310/27,360/07
1999,350/08,360/20,220/18,060/36,190/36,100/25,250/20,080/21,120/25,130/20,160/18,030/09
2000,090/18,010/21,290/25,290/45,260/42,120/23,190/19,190/28,190/30,020/35,360/08,010/08
2001,280/11,280/30,260/37,270/42,350/40,240/32,090/22,240/32,090/29,140/26,090/12,360/08
2002,220/09,320/22,300/24,010/35,360/40,340/40,330/30,090/20,130/20,360/20,090/25,360/10
2003,360/12,360/35,360/35,360/38,240/43,360/39,100/30,100/21,130/18,190/21,350/07,350/09
2004,350/19,200/12,250/30,330/40,330/44,050/32,220/23,100/20,170/28,150/20,360/10,360/10
2005,090/12,300/30,220/50,270/35,040/30,230/28,280/23,100/20,170/21,120/20,360/11,360/10
2006,340/11,210/13,230/18,350/40,350/30,220/18,110/21,030/30,270/26,120/17,030/08,360/07
2007,350/16,030/24,030/22,250/38,360/35,020/28,160/19,150/19,120/22,240/18,030/35,350/07
2008,340/13,060/26,270/40,290/30,350/48,190/30,270/22,200/21,080/20,020/30,010/09,030/07
2009,230/10,350/16,010/31,190/22,080/48,270/22,130/20,140/18,150/30,180/10,040/06,340/10
2010,020/16,290/26,360/37,010/35,350/45,350/40,100/18,090/18,150/18,150/26,350/16,350/10
2011,340/11,340/18,280/35,280/35,350/40,140/32,180/27,170/18,090/22,110/16,260/10,080/10
2012,110/18,350/23,310/26,250/45,230/30,330/55,160/26,270/22,120/26,030/16,360/10,360/08
2013,180/10,040/12,230/18,350/40,280/45,130/38,200/20,240/20,190/20,110/20,350/10,190/12
